Submission Date,Who was your coaching call with?,What did you work on in the coaching call?,Was the purpose of the call fulfilled? (Did the coach successfully help you with what you wanted?),Were all of your questions answered and clearly explained?,How was the coaches attitude on the call?,Rate your overall experience in the call,Do you have any ideas / recommendations that would help improve your experience?,Are there any improvements you'd like to see from the coaches?,utm_source,utm_campaign,utm_medium,utm_term,Submission ID,Week-Year,Avg,Streak
"2023 June 5, 5:17PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,"Josh helped us with our concern. We originally booked for Ad Account review but because of Facebook page got restricted, we were not able to show him our ad as we deleted our previous page and the data in our  ads is not showing anymore. We thought of not cancelling the coaching call and still continue with our appointment. We asked Josh abou Ad Angle which is different with what we booked, he still accomodated us so we are thankful for that and we promise that if our situation change and then we will cancel tha booked appointment and book a new appointment based on our concern . Have a nice day!",,,,,5414177223109938937,23-2023,5,
"2023 June 6, 9:03AM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5413753327517255740,23-2023,5,
"2023 June 6, 11:48AM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5412772753252883055,23-2023,5,
"2023 June 6, 12:32PM",Luigi Mammoliti,Ad Angle Review,5,4,3,5,,"Coach is quite quiet and only wait for questions from student(which is great) 

If possible I would like to see coach give me a clear explanation what to do next steps by steps for conclusions. Overall I am happy with the service. 

Thank you!",,,,,5411872466492161769,23-2023,4.25,
"2023 June 6, 12:47PM",Leon Tebyani,Product Research,5,5,5,5,"I was a bit nervous about the coaching call as I took a couple weeks to do Product Research and I was worried I had done it wrong. I also have social anxiety so I can get really nervous with having to talk to someone face to face (even via video). Leon was really friendly, answered all of my questions or queries about why a product was or wasn't viable.

He is very knowledgeable and very helpful, and I feel really confident moving forward onto the next stage. He gave me clear instructions on what's next and what to expect.

Great coach",,,,,,5411757091718060308,23-2023,5,
"2023 June 6, 5:35PM",Leon Tebyani,Ad Account Review,5,5,5,5,Great and good advice on our product. Suggested to do few changes to go live again.,,,,,,5410909899328544066,23-2023,5,
"2023 June 7, 2:39PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5409995190929536663,23-2023,5,
"2023 June 7, 4:06PM",Aaron Black,Product Research,5,5,5,5,,,,,,,5409484831752851658,23-2023,5,
"2023 June 7, 4:36PM",Joshua Fimmano,Ad Account Review,5,5,5,5,"No, my call was excellent","No, Josh was great (:",,,,,5409158664416554219,23-2023,5,
"2023 June 7, 5:03PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,,,,,,,5406833069216587521,23-2023,5,
"2023 June 7, 7:57PM",Luigi Mammoliti,Product Research,3,3,3,3,"The purpose of my call was to pick the 8 winning products for my website. I was super excited and a bit nervous at the same time. My coach, unfortunately, was not very enthusiastic and the products he highlighted for me to work on the ads were the ones with the least competitors or none at all. When I questioned him about it, his answer was not very satisfactory. Moreover, this approach does not align with the course which says that the more competitor you have, the better and more viable the product is. I am really confused and not confident to proceed with these products. 
My idea/recommendation would be to have a second opinion on my product research list.",I would like to see the coaches more motivated on the calls and able to give better feedback on the product research list.,,,,,5406726206411100073,23-2023,3,
"2023 June 8, 2:41PM",Aaron Black,Ad Angle Review,5,5,5,5,Aaron was super helpful and we got the job done. Highly recommend him for coaching.,,,,,,5405070924413360510,23-2023,5,
"2023 June 8, 3:42PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,,,,,5404296709673325434,23-2023,5,
"2023 June 8, 4:04PM",Leon Tebyani,Product Research,5,5,5,5,No ideas but a big thanks to Leon for his advice.,,,,,,5404259600627972229,23-2023,5,
"2023 June 8, 6:07PM",Luigi Mammoliti,Product Research,5,5,5,5,,,,,,,5404006361175867606,23-2023,5,
"2023 June 8, 8:41PM",Aaron Black,Ad Account Review,3,3,3,3,He has to talk very friendly and give some good suggestions.,I had calls with NIck Mitiris many times but he is very well to teach each and every point properly.,,,,,5403869493127807683,23-2023,3,
"2023 June 8, 9:32PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,,,,,5401612326674501342,23-2023,5,
"2023 June 8, 11:12PM",Joshua Fimmano,Ad Account Review,5,5,5,5,He was thorough and gave good recommendations,"Perhaps more ideas on what to do. 

Though I brainstormed many ideas alone as I finish work late and don't have time to make coaching calls often, but our ideas seem to align.",,,,,5401573929214423682,23-2023,5,
"2023 June 9, 11:40AM",Aaron Black,Product Research,5,5,5,5,Nothing to improve. Aaron with his knowledge/experience is an awesome coach to learn from. He is outstanding.,,,,,,5400846242593685670,23-2023,5,
"2023 June 9, 12:37PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5400830308438312768,23-2023,5,
"2023 June 9, 1:53PM",Luigi Mammoliti,Website Optimisation,5,5,4,4,"A little more patience,do not too rush",,,,,,5400808733114736879,23-2023,4.5,
"2023 June 9, 3:31PM",Joshua Fimmano,Ad Account Review,3,3,3,3,,,,,,,5400794749415724464,23-2023,3,
"2023 June 9, 5:40PM",Luigi Mammoliti,"Product Research
Website Optimisation
Ad Angle Review
Ad Account Review",3,3,3,3,The coach seems to be very in a hurry. I feel like I have doubts about his choices and advice.,,,,,,5400716689215967159,23-2023,3,
"2023 June 9, 5:47PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5400529314328950752,23-2023,5,
"2023 June 10, 4:42AM",Aaron Black,Ad Account Review,4,4,4,4,,,,,,,5399763311026006197,23-2023,4,
"2023 June 10, 9:32AM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,,,,,5399715749418748263,23-2023,5,
"2023 June 10, 4:45PM",Luigi Mammoliti,Product Research,5,5,5,5,,,,,,,5398945838798124461,23-2023,5,
"2023 June 11, 10:33AM",Leon Tebyani,Ad Account Review,4,4,4,4,,,,,,,5395547546838114309,24-2023,4,
"2023 June 11, 12:01PM",Leon Tebyani,Ad Account Review,5,5,5,5,"Everything went as planned, very happy with the call.",N/A,,,,,5395492669116677151,24-2023,5,
"2023 June 11, 1:31PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,,,,,5394760822717751660,24-2023,5,
"2023 June 12, 1:30PM",Aaron Black,Ad Account Review,5,5,5,5,,,,,,,5394736577442923917,24-2023,5,
"2023 June 12, 2:17PM",Aaron Black,Ad Account Review,5,5,5,5,,,,,,,5394018919528937911,24-2023,5,
"2023 June 12, 5:23PM",Aaron Black,Product Research,5,5,5,5,,,,,,,5392903995597372236,24-2023,5,
"2023 June 12, 6:26PM",Aaron Black,Website Optimisation,5,5,5,5,- Loved how aaron showed me easier and smarter ways to do things,,,,,,5392868406025094126,24-2023,5,
"2023 June 12, 7:42PM",Aaron Black,Website Optimisation,5,5,5,5,,,,,,,5392292425615342135,24-2023,5,
"2023 June 12, 8:02PM",Aaron Black,Website Optimisation,5,5,5,5,,,,,,,5390464710417645111,24-2023,5,
"2023 June 13, 12:01PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5390461260211331090,24-2023,5,
"2023 June 13, 1:31PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,,,,,,,5390346183513799280,24-2023,5,
"2023 June 13, 2:13PM",Aaron Black,Website Optimisation,5,5,5,5,Aaron was great and was able to help with a few of my issues as Tech support is not available at this stage. Thank you.,,,,,,5389578969516705357,24-2023,5,
"2023 June 13, 3:01PM",Aaron Black,Product Research,5,5,5,5,,,,,,,5389553767311415066,24-2023,5,
"2023 June 13, 3:12PM",Aaron Black,Ad Account Review,5,5,5,5,,,,,,,5389517503019342442,24-2023,5,
"2023 June 13, 4:41PM",Aaron Black,Website Optimisation,5,5,5,5,,,,,,,5389320808916819804,24-2023,5,
"2023 June 13, 5:40PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,,,,,5388838698315996109,24-2023,5,
"2023 June 13, 6:06PM",Luigi Mammoliti,Product Research,5,5,5,5,,No improvements needed! I had a really great coaching call :),,,,,5388725659216674550,24-2023,5,
"2023 June 13, 6:51PM",Luigi Mammoliti,Product Research,5,5,4,5,"It was pretty short and sweet, seemed like he had maybe had a long day doing coaching calls, I don't know what I was expecting, was short sharp and to the point was good overall.","Did think they might consider the best options rather than just the first 8 viable options, I did think I had better products then the ones picked but coaches know best. Nothing negative about the experience.",,,,,5388654781515567888,24-2023,4.75,
"2023 June 14, 10:12AM",Joshua Fimmano,Website Optimisation,5,5,5,5,n/a - He's a beast ?,n/a,,,,,5387572676816178514,24-2023,5,
"2023 June 14, 11:08AM",Luigi Mammoliti,Product Research,5,5,5,5,"no not at all am very grateful for the support and coaching from your coaches.
well done guys",not at all,,,,,5386001677445461000,24-2023,5,
"2023 June 14, 12:35PM",Leon Tebyani,Product Research,4,4,4,4,,,,,,,5385839283225199822,24-2023,4,
"2023 June 14, 12:45PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,All G we never have a bad experience with any of the coaching staff.,,,,,,5384374333417236839,24-2023,5,
"2023 June 14, 2:16PM",Aaron Black,Website Optimisation,5,5,5,5,,,,,,,5384081479511824008,24-2023,5,
"2023 June 14, 4:02PM",Joshua Fimmano,Ad Account Review,4,4,4,4,,,,,,,5383403439635252884,24-2023,4,
"2023 June 14, 4:38PM",Luigi Mammoliti,Product Research,5,5,5,5,,,,,,,5383392462428556998,24-2023,5,
"2023 June 14, 4:53PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5383198605327266105,24-2023,5,
"2023 June 14, 6:49PM",Nick Mitris,Ad Account Review,5,5,5,5,Every time I call Nick is happy . Always happy to help and give advice even though I'm sure it's gets annoying with the same questions . Such a nice guy to work with . Ur lucky to have all the coaches such a great team to work with,They are awesome 10/10 very knowledgeable great people . Great course,,,,,5382629729522196131,24-2023,5,
"2023 June 15, 9:50AM",Nick Mitris,Product Research,5,5,5,5,N/A,"Nick was amazing.  He was so knowledgeable and very reassuring.  Being my first coaching call, I wasn't sure what to expect and was worried that I hadn't completed the product research properly.  All of my concerns were answered appropriately.  It was exciting to have several products to work through and excited to start on my customer avatar sheets.  Thanks for a great call Nick and excellent feedback.",,,,,5382571041217953338,24-2023,5,
"2023 June 15, 12:14PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5382462915338449390,24-2023,5,
"2023 June 15, 3:04PM",Aaron Black,Website Optimisation,5,5,5,5,,,,,,,5382432355417502110,24-2023,5,
"2023 June 15, 5:41PM",Aaron Black,Product Research,5,5,5,5,no at this stage.,Something that just came up to me after the call finished was that i forgot to ask why the coach picked those products. I guess maybe as the coach go through the products he could explain why are the products that he picked the best ones etc... I can always ask later down the lane :) thanks,,,,,5382297442425302250,24-2023,5,
"2023 June 15, 6:14PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,"N/A, he was great ?",n/a,,,,,5381767307979457557,24-2023,5,
"2023 June 16, 12:42AM",Leon Tebyani,Website Optimisation,4,4,5,4,Much better than before.,in general I'd like all coaches to be on the same page with regards to whether a product is viable or not and stick to that and not deviate from the videos.,,,,,5380862882111756629,24-2023,4.25,
"2023 June 16, 11:05AM",Luigi Mammoliti,Ad Angle Review,5,5,5,5,,,,,,,5380771761478095553,24-2023,5,
"2023 June 16, 12:35PM",Nick Mitris,Ad Account Review,5,5,5,5,Great guy knows what he's talking about!,,,,,,5380687662216985103,24-2023,5,
"2023 June 16, 1:49PM",Leon Tebyani,Product Research,5,5,4,4,,,,,,,5379927590928074926,24-2023,4.5,
"2023 June 16, 3:06PM",Nick Mitris,Ad Account Review,5,5,5,5,Nick had been great to deal with throughout the whole experience! He's been great with advice and soo helpful!,,,,,,5378964391812467492,24-2023,5,
"2023 June 16, 4:31PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5378238861204148738,24-2023,5,
"2023 June 16, 4:35PM",Luigi Mammoliti,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5378112030022819723,24-2023,5,
"2023 June 16, 5:10PM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,,,,,5378005600777960953,24-2023,5,
"2023 June 16, 6:06PM",Luigi Mammoliti,Product Research,5,5,5,5,,,,,,,5377386801479404663,24-2023,5,
"2023 June 17, 8:17AM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5377098602118823696,24-2023,5,
"2023 June 18, 9:07AM",Leon Tebyani,Ad Account Review,5,5,5,5,,,,,,,5376640681473145972,25-2023,5,
"2023 June 18, 10:14AM",Leon Tebyani,Product Research,5,5,5,5,,,,,,,5376574497717673720,25-2023,5,
"2023 June 18, 10:42AM",Leon Tebyani,Product Research,5,5,5,5,,,,,,,5375840412126775938,25-2023,5,
"2023 June 19, 12:24AM",Luigi Mammoliti,Product Research,5,5,5,5,,,,,,,5374636833016373772,25-2023,5,
"2023 June 19, 5:45AM",Nick Mitris,Website Optimisation,5,5,5,5,,,,,,,5373915150914428791,25-2023,5,
"2023 June 19, 9:48AM",Leon Tebyani,Website Optimisation,5,5,5,5,,,,,,,5372098736123447422,25-2023,5,
"2023 June 19, 11:17AM",Luigi Mammoliti,Ad Angle Review,5,5,5,5,,,,,,,5370603001512549537,25-2023,5,
"2023 June 19, 11:32AM",Nick Mitris,Website Optimisation,5,5,5,5,,,,,,,5370503823814682819,25-2023,5,
"2023 June 19, 1:11PM",Leon Tebyani,Ad Angle Review,5,5,5,5,,,,,,,5370477988113180851,25-2023,5,
"2023 June 19, 1:13PM",Luigi Mammoliti,Ad Angle Review,5,5,5,5,,,,,,,5369668828621270373,25-2023,5,
"2023 June 19, 2:04PM",Nick Mitris,Ad Angle Review,5,5,5,5,,,,,,,5369586642518701794,25-2023,5,
"2023 June 19, 3:01PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5369502884319195654,25-2023,5,
"2023 June 20, 9:20AM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5369482367518595389,25-2023,5,
"2023 June 20, 12:43PM",Leon Tebyani,Product Research,5,5,5,5,,,,,,,5369371706126213376,25-2023,5,
"2023 June 20, 2:28PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,,,,,5368690759526366797,25-2023,5,
"2023 June 20, 3:22PM",Nick Mitris,Product Research,5,5,5,5,No ideas. Had a great call and now super pumped. Thanks to Nick and Leon!,Keep doing what you guys are doing!,,,,,5368610607417718328,25-2023,5,
"2023 June 20, 3:59PM",Aaron Black,Website Optimisation,5,5,5,5,,,,,,,5368584700531886038,25-2023,5,
"2023 June 20, 4:20PM",Leon Tebyani,Product Research,5,5,5,5,"For product research, I think it would be better just to send the products that people want to be validated with their questions. Only because I only ever had one or two questions during the product research calls, and would most likely have more questions for website design etc. This would save people time and not feel awkward if they don't have many questions (not that it was awkward for me but just a suggestion).","No, they are excellent (-:

Keep up the good work!",,,,,5367837987885578512,25-2023,5,
"2023 June 20, 5:02PM",Aaron Black,Product Research,4,3,2,3,,Just be more helpful in a way people are not gonna ask the same questions over and over,,,,,5366117572321457356,25-2023,3,
"2023 June 20, 5:51PM",Leon Tebyani,Ad Angle Review,5,5,5,5,"Everything was great!! 
Leon was on time, professional but friendly. Answered all my questions and provided clear instructions on how to move on. 
Thank you :)",,,,,,5366025958913166471,25-2023,5,
"2023 June 20, 6:31PM",Aaron Black,Website Optimisation,5,5,5,5,,,,,,,5365975387446827772,25-2023,5,
"2023 June 20, 9:23PM",Luigi Mammoliti,Ad Account Review,5,5,5,5,As I'm stuck on testing my products at the moment it's just rinse and repeat but the coaches have all been thorough and have given great tips,,,,,,5365369619212490755,25-2023,5,
"2023 June 20, 9:25PM",Leon Tebyani,Ad Account Review,5,5,5,5,"Was really good funny and honest 

Gave good tips and recommendations to get clearer data",None as of yet,,,,,5365347980783400999,25-2023,5,
"2023 June 21, 8:42AM",Nick Mitris,Ad Angle Review,5,5,5,5,"awesome crew, love ya's",,,,,,5365290929241845169,25-2023,5,
"2023 June 21, 11:23AM",Aaron Black,Ad Account Review,5,5,5,5,"Was extremely helpful, friendly and patient. Thank you",No,,,,,5365159032812162207,25-2023,5,
"2023 June 21, 12:32PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5365144352421446233,25-2023,5,
"2023 June 21, 3:26PM",Aaron Black,Ad Account Review,5,5,5,5,,,,,,,5365064840523397226,25-2023,5,
"2023 June 21, 3:38PM",Luigi Mammoliti,Product Research,5,5,5,5,,,,,,,5364971019916307986,25-2023,5,
"2023 June 21, 5:30PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5364533666975786318,25-2023,5,
"2023 June 21, 8:20PM",Leon Tebyani,Ad Account Review,5,5,5,5,,,,,,,5364208710514459623,25-2023,5,
"2023 June 22, 9:05AM",Nick Mitris,Product Research,5,5,5,5,N/A,N/A,,,,,5363560130414722780,25-2023,5,
"2023 June 22, 4:14PM",Leon Tebyani,Product Research,5,5,5,5,,,,,,,5362670445294873270,25-2023,5,
"2023 June 23, 9:07AM",Nick Mitris,Product Research,5,5,5,5,,No it was great!,,,,,5362653942115190985,25-2023,5,
"2023 June 23, 12:14PM",Leon Tebyani,Product Research,5,5,5,5,NA,NA,,,,,5362527477319290482,25-2023,5,
"2023 June 23, 12:40PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5361750113222462421,25-2023,5,
"2023 June 23, 7:38PM",Nick Mitris,Product Research,5,5,5,5,,,,,,,5360908758616510955,25-2023,5,
"2023 June 26, 4:19PM",Leon Tebyani,Ad Account Review,5,5,4,5,,,,,,,5360792244229565230,26-2023,4.75,
"2023 June 27, 11:46AM",Luigi Mammoliti,Website Optimisation,5,5,5,5,,,,,,,5360728115315129486,26-2023,5,
"2023 June 27, 12:44PM",Nick Mitris,Ad Angle Review,5,5,5,5,,,,,,,5360184710611937080,26-2023,5,
"2023 June 27, 1:48PM",Leon Tebyani,Ad Angle Review,5,5,5,5,,,,,,,5359141045517897006,26-2023,5,
"2023 June 27, 5:42PM",Luigi Mammoliti,Product Research,5,5,5,5,Not at this stage.,"Luigi was great to talk to and had some great advice regarding the next steps to take within the course.

He was thorough with his responses and shared some of his own experiences during his ecom journey which was great for my motivation. 

Thanks mate!",,,,,5359027685997800107,26-2023,5,
"2023 June 27, 6:12PM",Aaron Black,Website Optimisation,5,5,5,5,,,,,,,5358448536618512794,26-2023,5,
"2023 June 27, 6:42PM",Nick Mitris,Ad Account Review,5,5,5,5,Nothing was amazing,Nothing they are all so helpful,,,,,5356868787443763494,26-2023,5,
"2023 June 27, 6:58PM",Leon Tebyani,Product Research,5,5,5,5,none,none,,,,,5356596296721173714,26-2023,5,
"2023 June 27, 8:11PM",Nick Mitris,Ad Account Review,5,5,5,5,,,,,,,5356470585227593622,26-2023,5,
"2023 June 27, 8:40PM",Leon Tebyani,Product Research,4,4,5,4,,,,,,,5354264110614404080,26-2023,4.25,
